,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
443,1,2,543,0021600457,,,5:20,4,5.0,0,0,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,MISS Durant 27' 3PT Jump Shot,4:57 PM
444,0,4,544,0021600457,Irving REBOUND (Off:2 Def:3),,5:19,4,4.0,0,0,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,4:57 PM
445,1,2,545,0021600457,MISS Love 25' 3PT Jump Shot,,5:12,4,4.0,0,0,201567,Kevin Love,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,4:57 PM
446,0,4,546,0021600457,,,5:11,4,5.0,0,0,2733,Shaun Livingston,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Livingston REBOUND (Off:0 Def:3),4:57 PM
447,2,6,547,0021600457,Love S.FOUL (P5.T4) (S.Corbin),,5:07,4,4.0,5,1,201567,Kevin Love,CLE,Cleveland,1610612739.0,Cavaliers,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,,,,4:57 PM
448,11,3,548,0021600457,,,5:07,4,5.0,0,0,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,98 - 94,-4,Durant Free Throw 1 of 2 (35 PTS),4:58 PM
449,12,3,550,0021600457,,,5:07,4,5.0,0,0,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,99 - 94,-5,Durant Free Throw 2 of 2 (36 PTS),4:58 PM
450,1,6,552,0021600457,,,4:55,4,5.0,4,1,202691,Klay Thompson,GSW,Golden State,1610612744.0,Warriors,202697,Iman Shumpert,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,,,Thompson P.FOUL (P1.T3) (S.Corbin),4:58 PM
451,1,1,553,0021600457,Shumpert 24' 3PT Jump Shot (7 PTS) (James 4 AST),,4:41,4,4.0,4,0,202697,Iman Shumpert,CLE,Cleveland,1610612739.0,Cavaliers,2544,LeBron James,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,99 - 97,-2,,4:59 PM
452,98,1,554,0021600457,,,4:28,4,5.0,5,0,201939,Stephen Curry,GSW,Golden State,1610612744.0,Warriors,203110,Draymond Green,GSW,Golden State,1610612744.0,Warriors,0,,,,,,101 - 97,-4,Curry 1' Cutting Layup Shot (12 PTS) (Green 4 AST),4:59 PM
